Sr. No.,Sr. No. Hard Copy,Directive No.,Year ID,Fiscal Year,Region ID,Region,Con ID,Constituency Name,Members Type,MP ID,MP Name,Full Name of Party,Party,Amount (Million PKR),Fund Status,Programme,Sector,Project District,Project Area
1,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,1,NA-1 Peshawar-I,Elected,202,Haji Ghulam Ahmed Bilour,Awami National Party,ANP,5.811,Consumed,Peoples Works Programme,Missing,,
2,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,2,NA-2 Peshawar-II,Elected,64,Arbab Alamgir Khan,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
3,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,3,NA-3 Peshawar-III,Elected,533,Noor Alam Khan,Pakistan Peoples Party Parliamentarians,PPPP,1.94,Consumed,Peoples Works Programme,Missing,,
4,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,4,NA-4 Peshawar-IV,Elected,65,Arbab Muhammad Zahir Khan,Awami National Party,ANP,10,Consumed,Peoples Works Programme,Missing,,
5,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,5,NA-5 Nowshera-I,Elected,152,Engineer Muhammad Tariq Khattak,Pakistan Peoples Party Parliamentarians,PPPP,9.216,Consumed,Peoples Works Programme,Missing,,
6,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,6,NA-6 Nowshera-II,Elected,351,Masood Abbas,Awami National Party,ANP,7.86,Consumed,Peoples Works Programme,Missing,,
7,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,7,NA-7 Charsadda-I,Elected,69,Asfandyar Wali Khan,Awami National Party,ANP,10,Consumed,Peoples Works Programme,Missing,,
8,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,8,NA-8 Charsadda-II,Elected,37,Aftab Ahmad Khan Sherpao,Pakistan Peoples party(Sherpao)/Qaumi Watan Party (Sherpao),PPP-S/QWP,8.665,Consumed,Peoples Works Programme,Missing,,
9,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,9,NA-9 Mardan-I,Elected,517,Nawabzada Khawaja Mohammad Khan Hoti,Awami National Party,ANP,10,Consumed,Peoples Works Programme,Missing,,
10,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,10,NA-10 Mardan-II,Elected,372,Maulana Muhammad Qasim,Muttahidda Majlis-e-Amal Pakistan,MMA,10,Consumed,Peoples Works Programme,Missing,,
11,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,11,NA-11 Mardan-III,Elected,206,Haji Khanzada Khan,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
12,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,12,NA-12 Swabi-I,Elected,798,Usman Khan Tarakai,Awami Jamhuri Ittehad Pakistan,AJIP,9.9,Consumed,Peoples Works Programme,Missing,,
13,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,13,NA-13 Swabi-II,Elected,543,Parvez Khan,Awami National Party,ANP,9.199,Consumed,Peoples Works Programme,Missing,,
14,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,14,NA-14 Kohat,Elected,547,Pir Dilawar Shah,Awami National Party,ANP,9.56,Consumed,Peoples Works Programme,Missing,,
15,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,16,NA-16 Hangu,Elected,548,Pir Haider Ali Shah,Awami National Party,ANP,9.566,Consumed,Peoples Works Programme,Missing,,
16,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,17,NA-17 Abbottabad-I,Elected,660,Sardar Mehtab Ahmad Khan,Pakistan Muslim League (N),PML-N,0.835,Consumed,Peoples Works Programme,Missing,,
17,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,18,NA-18 Abbottabad-II,Elected,487,Murtaza Javed Abbasi,Pakistan Muslim League (N),PML-N,10,Consumed,Peoples Works Programme,Missing,,
18,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,19,NA-19 Haripur,Elected,667,Sardar Muhammad Mushtaq Khan,Pakistan Muslim League (N),PML-N,8.562,Consumed,Peoples Works Programme,Missing,,
19,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,20,NA-20 Mansehra-I,Elected,679,Sardar Shah Jehan Yousaf,Pakistan Muslim League,PML,3.6,Consumed,Peoples Works Programme,Missing,,
20,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,21,NA-21 Mansehra-cum-Torghar (Old Mansehra-II),Elected,155,Faiz Muhammad Khan,Pakistan Muslim League (N),PML-N,10,Consumed,Peoples Works Programme,Missing,,
21,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,22,NA-22 Battagram,Elected,461,Muhammad Nawaz Allai,Pakistan Muslim League,PML,9.961,Consumed,Peoples Works Programme,Missing,,
22,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,23,NA-23 Kohistan,Elected,309,Mahboobullah Jan,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
23,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,24,NA-24 D.I.Khan,Elected,154,Faisal Karim Khan Kundi,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
24,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,26,NA-26 Bannu,Elected,363,Maulana Fazlur Rahman,Jamiat Ulama-e-Islam (F),JUI,10,Consumed,Peoples Works Programme,Missing,,
25,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,27,NA-27 Lakki Marwat,Elected,221,Hamayun Saifullah Khan,Pakistan Muslim League,PML,0.55,Consumed,Peoples Works Programme,Missing,,
26,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,28,NA-28 Buner,Elected,16,Abdul Matin Khan,Awami National Party,ANP,10,Consumed,Peoples Works Programme,Missing,,
27,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,29,NA-29 Swat-I,Elected,492,Muzaffarul Mulk Khan,Awami National Party,ANP,2.15,Consumed,Peoples Works Programme,Missing,,
28,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,31,NA-31 Shangla,Elected,56,Amir Muqam,Pakistan Muslim League,PML,10,Consumed,Peoples Works Programme,Missing,,
29,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,32,NA-32 Chitral,Elected,704,Shahzada Mohiuddin,Pakistan Muslim League,PML,10,Consumed,Peoples Works Programme,Missing,,
30,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,33,NA-33 Upper Dir-cum-Lower Dir (Old Upper Dir),Elected,501,Najamuddin Khan,Pakistan Peoples Party Parliamentarians,PPPP,9.5,Consumed,Peoples Works Programme,Missing,,
31,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,35,NA-35 Malakand Protected Area,Elected,300,Lal Muhammad Khan,Pakistan Peoples Party Parliamentarians,PPPP,9.25,Consumed,Peoples Works Programme,Missing,,
32,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,322,NA-322,Reserved - Women,95,Bushra Gohar,Awami National Party,ANP,4.5,Consumed,Peoples Works Programme,Missing,,
